,name,parking,wheelchair,url
0,Howard,yes,yes,http://www.transitchicago.com/asset.aspx?AssetId=1090
1,Jarvis,no,no,http://www.transitchicago.com/asset.aspx?AssetId=1092
2,Morse,no,no,http://www.transitchicago.com/asset.aspx?AssetId=1097
3,Loyola,no,yes,http://www.transitchicago.com/asset.aspx?AssetId=1095
4,Granville,no,yes,http://www.transitchicago.com/asset.aspx?AssetId=1088
5,Thorndale,no,no,http://www.transitchicago.com/asset.aspx?AssetId=1102
6,Bryn Mawr,no,no,http://www.transitchicago.com/asset.aspx?AssetId=1081
7,Berwyn,no,no,http://www.transitchicago.com/asset.aspx?AssetId=1080
8,Argyle,no,no,http://www.transitchicago.com/asset.aspx?AssetId=1078
9,Lawrence,no,no,http://www.transitchicago.com/asset.aspx?AssetId=1094
10,Wilson,no,yes,http://www.transitchicago.com/asset.aspx?AssetId=1103
11,Sheridan,no,no,http://www.transitchicago.com/asset.aspx?AssetId=1100
12,Addison,no,yes,http://www.transitchicago.com/asset.aspx?AssetId=1077
13,Belmont,no,yes,http://www.transitchicago.com/asset.aspx?AssetId=1079
14,Fullerton,no,yes,http://www.transitchicago.com/asset.aspx?AssetId=1085
15,North/Clybourn,no,no,http://www.transitchicago.com/asset.aspx?AssetId=1098
16,Clark/Division,no,yes,http://www.transitchicago.com/asset.aspx?AssetId=1084
17,Chicago,no,yes,http://www.transitchicago.com/asset.aspx?AssetId=1083
18,Grand,no,yes,http://www.transitchicago.com/asset.aspx?AssetId=1087
19,Lake,no,yes,http://www.transitchicago.com/asset.aspx?AssetId=1093
20,Monroe,no,no,http://www.transitchicago.com/asset.aspx?AssetId=1096
21,Jackson,no,yes,http://www.transitchicago.com/asset.aspx?AssetId=1091
22,Harrison,no,no,http://www.transitchicago.com/asset.aspx?AssetId=1089
23,Roosevelt,no,yes,http://www.transitchicago.com/asset.aspx?AssetId=1099
